State,City,PlaceFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
NJ,Clifton,3413690,16.3,20.6,18.8,27.7,55.3,5.5,8.1,5.4,72.6,76.1,62.1,5.2,33.4,27.0,16.5,68.7,8.6,36.3,2.3,23.3,78.4,10.8,25.9,83.1,10.6,38.6,2.4,11.6
NJ,Elizabeth,3421000,29.3,23.2,14.7,29.9,58.8,4.9,8.9,7.0,72.2,72.7,49.7,6.6,25.2,21.1,21.1,53.5,13.1,33.5,3.0,33.2,75.6,13.8,32.7,79.3,15.3,43.4,3.4,20.0
NJ,Jersey City,3436000,17.8,20.8,15.0,31.6,60.9,4.9,8.9,6.0,76.2,75.5,54.3,5.8,22.6,21.9,16.2,60.8,11.3,33.4,2.6,28.6,75.0,11.1,25.4,76.5,12.2,43.7,3.1,18.4
NJ,Newark,3451000,28.9,24.8,13.3,39.0,63.1,4.8,10.9,7.6,74.8,73.9,53.0,8.4,24.0,17.5,24.0,49.8,15.7,36.0,3.2,35.8,74.7,15.7,37.6,74.5,17.5,48.0,4.6,25.0
NJ,Passaic,3456550,36.5,23.6,14.8,33.2,58.2,4.7,9.5,7.4,70.0,70.9,47.1,7.3,25.5,18.1,21.6,48.7,14.7,38.7,3.3,37.3,72.3,15.3,35.6,74.7,18.1,43.6,3.7,21.5
NJ,Paterson,3457000,32.3,24.4,14.5,35.7,60.6,4.7,10.1,7.3,72.5,72.3,49.3,7.4,24.7,17.5,22.2,49.4,15.1,38.1,3.4,36.3,74.7,15.2,37.3,77.3,17.4,45.7,4.0,22.4
NJ,Trenton,3474000,28.7,26.4,14.1,38.2,64.5,5.1,11.3,7.9,74.3,75.3,51.0,8.8,24.6,18.0,27.0,47.9,15.2,36.1,3.0,34.8,73.6,16.0,39.3,77.5,17.7,45.3,4.7,29.7
NJ,Union City,3474630,32.6,21.4,16.0,30.0,58.2,4.4,8.8,7.1,72.4,73.0,46.1,6.1,20.3,17.4,18.0,51.5,14.0,34.6,3.4,36.0,70.7,13.5,31.4,75.6,16.4,43.2,3.0,20.6
NM,Albuquerque,3502000,17.0,22.4,14.5,25.9,54.3,6.1,9.8,5.3,61.1,70.1,63.9,5.4,32.7,32.6,18.8,64.2,9.3,29.2,2.9,20.4,75.0,11.6,25.5,80.4,12.1,32.8,2.6,14.0
NM,Las Cruces,3539380,19.9,23.2,15.7,29.1,57.1,5.7,9.4,5.5,61.2,67.5,55.3,5.8,33.1,25.1,17.9,64.0,10.3,31.4,3.1,21.1,70.2,12.2,28.8,79.5,13.5,32.2,2.8,14.3
